,County,Price,Primary category,Venue Name,Venue id
0,Alameda,1,Ice Cream Shop,Tucker's Ice Cream,4645bd20f964a5207e461fe3
1,Alameda,1,Burger Joint,In-N-Out Burger,5516cea6498ea63bf9695e68
2,Alameda,1,Brewery,Faction Brewing,50c3b212498ef1fd446e75b2
3,Alameda,1,Café,Julie's Coffee & Tea Shop,4ae61a25f964a520b9a421e3
4,Alameda,1,Pizza Place,The Star,59f68b9286f4cc308a07fe90
5,Alameda,1,Middle Eastern Restaurant,Troy,4b6a2e45f964a520dfcb2be3
6,Alameda,1,Southern / Soul Food Restaurant,Neptune's,5900f57a1acf11282734b70f
7,Alameda,1,Coffee Shop,Peet's Coffee & Tea,571cfe7e498e8f11031aa749
8,Alameda,1,Ice Cream Shop,Cookiebar Creamery,52745d9711d2c881ccf7cff3
9,Alameda,1,Burger Joint,Scolari's @ The Point,52741ea511d2d2573ba61000
10,Alameda,1,Burger Joint,The Habit Burger Grill,54c98d59498e5ca9c5604e1c
11,Alameda,1,Hot Dog Joint,Doggy-Style Hot Dogs,4e6acf1e18a83989eca2e245
12,Alameda,1,Salad Place,Greens & Grains,501d8efbe4b0d7d701e4985a
13,Alameda,1,Mexican Restaurant,Cholita Linda,5b80c1166e4650002cafa8d1
14,Alameda,1,Coffee Shop,Peet's Coffee & Tea,4a8a0793f964a520b30920e3
15,Alameda,1,Dive Bar,Lucky 13,45ec4859f964a520a2431fe3
16,Alameda,1,Afghan Restaurant,Q's Halal Chicken,5143dcb6e4b0acadf2cbb9dc
17,Alameda,1,Street Food Gathering,Off the Grid: Alameda,4fc1b8e2e4b04422a1439c7e
18,Alameda,1,Mexican Restaurant,Chipotle Mexican Grill,4b381043f964a520104b25e3
19,Alameda,1,Frozen Yogurt Shop,Yogurtland,55ff30fb498ee8426d8b9f43
20,Alameda,1,Moroccan Restaurant,Abigail Cafe & Deli,4c8ab0351797236a6ffb6388
21,Alameda,1,Bar,The Fireside Lounge,4df1c239ae609e69dd9261fa
